polarity,text,created_at,retweet_count,username,followers_count,verified
1,"RT @EGInformatico: MRAM, la nueva ""RAM"" de Samsung que funciona aunque apagues el dispositivo https://t.co/N6sCdhUkzf https://t.co/IooP1rWx…",2022-01-14 13:56:47+00:00,4,Cthulhu_ar,339,False
0,@KekoFranc0 Y con un samsung de gama alta 😆,2022-01-14 13:56:33+00:00,0,ladriguruok,10397,False
1,"-hola si vengo a ver un aire chico tranqui para mi pieza

+ si obvio tengo este samsung con wifi que esta buenisimo a 119 lucas en 12 cuotas

Flaco vine en un 343 con la camiseta de boca transpirado y en chanclas, que te hace pensar que ese transformer con wifi esta a mi alcance",2022-01-14 13:55:00+00:00,0,mileborda,822,False
1,RT @Ch_Enterprises: Te doy un Samsung Galaxy Mini Y ME ESTOY ARRIESGANDO 🤣 https://t.co/xlTuLyvvIQ,2022-01-14 13:54:08+00:00,2,therealbuni,45309,False
1,Ahora tus noches se ven más épicas con el modo noche del nuevo #GalaxyS21FE https://t.co/pTURGhxYUf https://t.co/aRJFNJUn3N,2022-01-14 13:54:01+00:00,0,INSUCOPY,851,False
0,RT @LiceoCientifico: Estudiantes dominicanos fueron premiados como campeones regionales del concurso Solve for Tomorrow 2021 de Samsung Ele…,2022-01-14 13:53:36+00:00,2,ElCompradorLV,229,False
1,"#7FATES_CHAKHO saldrá HOY a las 7pm EST 🔥❤

Esto saldrá en la app de Webtoon!

Google Play (Samsung): https://t.co/A36b38yim8",2022-01-14 13:53:11+00:00,0,tuexperto,17037,True
1,"#7FATES_CHAKHO saldrá HOY a las 7pm EST 🔥❤

Aquí los horarios para LATAM y España:

14 de enero 

6:00PM 🇬🇹🇲🇽🇭🇳🇳🇮🇨🇷🇸🇻🇧🇿
7:00PM 🇵🇪🇨🇴🇵🇦🇪🇨
8:00PM 🇻🇪🇩🇴🇨🇺🇧🇴🇵🇷
9:00PM 🇧🇷🇺🇾🇦🇷🇨🇱🇵🇾

15 de enero 

2:00AM 🇪🇸 

Esto saldrá en la app de Webtoon!

Google Play (Samsung): 👇",2022-01-14 13:52:22+00:00,0,ivanumansky,22,False
0,"jkaskjsakj le colgué 10 minutos una meet a Samsung y cuando llegué me dijeron ""tenemos meets con Alberto, con Macri y te tenemos que esperar a vos""",2022-01-14 13:51:38+00:00,0,SamsungArg,314107,True
0,"Me muero!!! 😭 
$30mil por el #S22Ultra 
¡Olvídenlo!

Samsung también aumentaría el precios de sus smartphones durante 2022: Así queda la tabla https://t.co/52drSsT8yH vía @unocero",2022-01-14 13:51:14+00:00,0,AGUSTINSANCHE22,250,False
1,RT @isa_marcial: Cuéntanos tu experiencia con esta edición recortada del querido Note. https://t.co/86Kw5Y1MIS,2022-01-14 13:46:38+00:00,5,NavasCenter,696,False
1,"@MTB___life Que equipo tenés? Hubiera jurado era Samsung.... meten apps propias por todos lados. Ahora a eso se suma Google...para mi gusto, metió muchas en el android 10/11",2022-01-14 13:46:19+00:00,0,heypipito,3011,False
1,"@irvinrios20 @ParamountPlusLA Entonces reciente reciente no es, ya que esa TV es de mi hermano y es marca Samsung, la tiene desde el año pasado. https://t.co/UpJEWKo6A1",2022-01-14 13:44:11+00:00,0,medicenjuanin,163,False
1,"@nicki_ceballos @jowifromdablock VOT SI a ese Samsung es un re caño, mi próximo movicom dentro de poquito 😬",2022-01-14 13:42:53+00:00,0,selaromselarom,8,False
1,Samsung presenta primer sistema computacional con memoria no volátil MRAM y procesamiento interno (CPU) https://t.co/dih9KBipMh #ciberseguridad https://t.co/zpa9ebfZss,2022-01-14 13:42:48+00:00,0,Yahoo,1418329,True
1,"RT @clazeto: ¿Adivinen a dónde fui?
#FincaRocío Chocolates 
¡¡Deliciosos!! 👌🏾
Aquí les dejo la dirección por si quieren ir 👇🏾
https://t.co/…",2022-01-14 13:40:32+00:00,328,Iangt1420,14,False
0,"@jowifromdablock Un Samsung S20 FE estaba entre este y un Google Pixel 4xl pero ese tenía que comprarlo por tienda mía, tardaba mucho y literal yo andaba sin teléfono",2022-01-14 13:40:21+00:00,0,EGInformatico,71918,True
1,"Danos la oportunidad de plasmar en tu Case la foto que más te gusta, manejamos todas las referencias de IPhone Samsung, Xiaomi entre otros.
Visitanos ⬇️⬇️
https://t.co/SOlvAOmITF https://t.co/rWLKrc7SNW https://t.co/1S5TXwojac",2022-01-14 13:39:26+00:00,0,Bbecsp,77,False
1,Las memorias MRAM ya están aquí: Samsung construye el primer sistema con memorias que retienen información aunque se apague el dispositivo https://t.co/F5VQa50x9G https://t.co/RkZ8Nsf58T,2022-01-14 13:36:54+00:00,0,KekoFranc0,372,False
0,"@JORGDUARDOJESUS @verolist @mcfaby_l @rocionahle @alvaro_delgado @paezvarela Jajajaja Samsung , ICA Flour y Techint son los tres principales constratistas , donde están los mexicanos ?🤔😂😂😂por cierto hoy está bajo agua, porque no nos hablas de el impacto ambiental o de donde van a sacar el crudo ligero para esta? O de cómo van a recuperar la inversión?",2022-01-14 13:36:23+00:00,0,valenpombo_,153,False
0,"@verolist @rocionahle @alvaro_delgado @paezvarela Por cierto un dato para que no creas todo lo que te dice la bola de ratas esos, 100% mexicana ?🤔😂😂😂 el principal contratista es Samsung y el segundo ICA-Flour 50/50 mexicano/Gringo y el tercero es Techint Ítalo/argentino así de mentirosos !!",2022-01-14 13:31:07+00:00,0,SorpresitaX,1143,False
1,"Tiene muchos partners, la mayoría relacionados con el ecosistema DeFi.
Entre sus partners están: Polygon, Huobi ,SafePal y OpenDefi entre otros. Están trabajando para colaborar con Samsung y la Agencia Espacial.

Os dejo un link con los partners:
https://t.co/YtnRkbWl9Q (24/26) https://t.co/gefc54Zkx3",2022-01-14 13:30:32+00:00,0,Ch_Enterprises,407,False
1,"USB C Feminino Adaptador masculino (2 pack), tipo C Adaptador de cabos de carregador para iPhone 11 12 Pro Max, Airpods iPad, Samsung Galaxy Nota 10 S20 mais 20 S20 + 20 + Ultra, Google Pixel 5 4 4A 3 3 2 Xl. iphone 5 pro max
https://t.co/dJnQ4AGyAq",2022-01-14 13:25:50+00:00,0,solucioneslatin,44,False
0,"RT @ahorrobanco: Cuenta Sin Comisiones BBVA 
✅Sin comisiones por transferencia ni retirada
✅App BBVA con Bizum, Apple PAY y Samsung Pay 
Ab…",2022-01-14 13:23:01+00:00,3,LiceoCientifico,388,False
0,"RT @SamsungMexico: Conoce más a fondo junto a @CharlyPi las características y funciones de The Freestyle, la Smart TV portátil.

Da clic aq…",2022-01-14 13:23:01+00:00,10,Ceniamartinez8,818,False
1,Otros 12 móviles Samsung reciben la actualización Android de enero de 2022 - Andro4all https://t.co/ESvuWXEFRP #Android,2022-01-14 13:22:29+00:00,0,maauricioAS,780,False
1,"Oferta Samsung Galaxy S21 5G por sólo 625,10€ con envío gratis (-27%) ¡233€ de ahorro! https://t.co/pa3HbT7y9k",2022-01-14 13:20:03+00:00,0,PIOrealtor,1258,False
1,RT @elhackernet: [Blog] Samsung presenta primer sistema computacional con memoria no volátil MRAM y procesamiento interno (CPU) https://t.c…,2022-01-14 13:19:59+00:00,2,unocero,236119,True
0,Quiero el samsung que se dobla,2022-01-14 13:19:36+00:00,0,AdonayHndz,172,False
1,El nuevo Galaxy S21 FE viene cargado con las funciones favoritas de los fanáticos de Samsung https://t.co/WP0tUY491Y,2022-01-14 13:18:30+00:00,0,isa_marcial,75893,False
0,@ChavezErtugrul @NicolasMaduro Mano. Yo quiero que este peo acabe. Quiero que el presidente que venga se la lleve bien con todos. EEUU. Japón. Corea del Sur. Lo demás es chimbo. Mala calidad. Apple. Samsung. Toyota. Lg. O sea. Basta que ellos full y el pueblo mal. Mala leche el diablo.,2022-01-14 13:18:07+00:00,0,lolamora029,86,False
0,@m__casti La duura? A mi me ha funcionado rebien jaja venía chato de Samsung que no le duraba nada la batería,2022-01-14 13:16:47+00:00,0,MTB___life,860,False
0,RT @chalioDMX: Oye @liverpoolmexico  me van a hacer lo mismo  de cancelarme estas tablets de #Samsung  como le hicieron con la consola de #…,2022-01-14 13:16:42+00:00,1,xJulio89x,33,False
1,Oye @liverpoolmexico  me van a hacer lo mismo  de cancelarme estas tablets de #Samsung  como le hicieron con la consola de #XboxSeriesX  edición #haloinfinite  ?? Para saber y mejor ir a que me regresen mi dinero https://t.co/OJzKY2p5VU,2022-01-14 13:15:36+00:00,1,irvinrios20,171,False
0,"Samsung Galaxy S21 a precio de risa, Realme GT 2 Neo rebajadísimo y más ofertas: Cazando Gangas https://t.co/QliDpNN8n6",2022-01-14 13:13:06+00:00,0,ParamountPlusLA,35521,True
1,RT @IncidenteCriti2: @JoignantAlfredo @fernando_atria @fernando_atria puedes recordarle al bolichero del Servel que su organismo por Ley de…,2022-01-14 13:12:32+00:00,3,panicoenlondres,7386,False
1,RT @TopesdGama: ¿Cuál es el mejor Samsung Galaxy S21? https://t.co/Rm0jjla4Do,2022-01-14 13:12:20+00:00,2,nicki_ceballos,1910,False
1,"RT @TopesdGama: POCO M4 Pro 5G vs Samsung Galaxy A32 5G, ¿cuál es mejor? https://t.co/zFHzx8C5dk",2022-01-14 13:12:14+00:00,2,jowifromdablock,3591,False
0,"@SheeraDc @DWhoESP @ValeryValWho La pega es que no tengo una Samsung Smart TV. 😅 
De hecho no tengo una Smart TV. 🥲",2022-01-14 13:11:55+00:00,0,AdrianDolbuck,807,False
1,"Samsung Galaxy S21 FE, análisis: la importancia de llegar a tiempo https://t.co/PbsyoKQH22",2022-01-14 13:11:13+00:00,0,angel_nio1,538,False
1,"El nuevo exponente de la familia Galaxy de Samsung llega a Colombia. Especificaciones y características. 
#Publicidad @SamsungCO 
https://t.co/cyeqIorWJF",2022-01-14 13:10:02+00:00,0,clazeto,16855,False
0,"Se acuerdan mí aventura comprando un teléfono en la web de Samsung? Todo terminó con la devolución del dinero, curioso que me hayan devuelto algo que en teoría jamás autorizaron...",2022-01-14 13:08:58+00:00,0,vivolavida_17,0,False
1,Otros 12 móviles Samsung reciben la actualización Android de enero de 2022 https://t.co/FqfvrRTmQA,2022-01-14 13:07:51+00:00,0,josegisbert,190,False
0,"@TopesdGama Tengo un Samsung A51, cual me indicas para cambiar, por un A52 o A72?",2022-01-14 13:06:49+00:00,0,AlonsoPazzi,169,False
1,"RT @unocero: ¿Qué está pasando entre Samsung y Telcel? Aquí las declaraciones por parte de la compañía
https://t.co/UueUel5mya :",2022-01-14 13:06:39+00:00,1,JORGDUARDOJESUS,124,False
1,"RT @unocero: En 2019, #Intel adelantó su trabajo con memorias #MRAM, pero será #Samsung quien las use por primera vez 🤓 https://t.co/1pDUKm…",2022-01-14 13:04:09+00:00,0,verolist,14799,False
1,Otros 12 móviles Samsung reciben la actualización Android de enero de 2022 https://t.co/o0EG90OwGu https://t.co/XJw6VP19Y8,2022-01-14 13:02:48+00:00,0,mcfaby_l,580,False
1,"Samsung Galaxy S21 FE, análisis: la importancia de llegar a tiempo https://t.co/0lNRad7wgP https://t.co/mnkJkdu9wm",2022-01-14 13:02:38+00:00,0,rocionahle,496197,True
1,@DWhoESP @ValeryValWho @KikeL1590 En Smart TVs Samsung hay un canal específico al estilo de el de PlutoTv también,2022-01-14 13:02:18+00:00,0,alvaro_delgado,272442,False
1,"La marca surcoreana desde siempre ha sido parte de la vida de todos estando a la vanguardia en cada uno de sus productos. La empresa presentó oficialmente su campaña corporativa “Siempre junto a ti”. #Samsung #conexión #usuarios
https://t.co/8pfgtnYgkH",2022-01-14 12:58:18+00:00,0,paezvarela,53078,False
0,"@TopesdGama Tengo un Huawei p20 Lite y quisiera cambiarlo, no sé si por un Samsung a52s o un one plus nord 2 o un iPhone 11 por la durabilidad",2022-01-14 12:56:40+00:00,0,SxcCrypto,147,False
1,"@BoixLlobera @dzapatillas @SamsungArg @chinoghirardi @muchalucha13 Repitan conmigo: nunca comprar equipos de A/A marca Samsung, aunque funcionen bien no rinden como cualquiera otra marca. Con respecto al cambio directo ninguna marca lo hace, el equipo tiene que estar instalado y si la instalación está bien realizada......lo reparan.",2022-01-14 12:55:30+00:00,0,ClassificadoD,79,False
0,"@Kaktuar_King @Fnac_ESP Esa forma de vender las cosas es típico de FNAC. Hace año y pico me dejaban comprar una funda para tablet de la que ni siquiera la propia Samsung tenía stock y extrañamente FNAC era el único sitio de internet en el que se podía comprar. Sorpresa, nunca llegó.",2022-01-14 12:53:38+00:00,0,Nataliadominan1,761,False
1,RT @_aleexxtr: Pero de que van poniendo una pantalla de Samsung en LA PUTA CATEDRAL https://t.co/GgcMqIVA1H,2022-01-14 12:52:56+00:00,1,ahorrobanco,673,False
1,#Andro4All | Otros 12 móviles #Samsung reciben la actualización #Android de enero de 2022  https://t.co/Qi0TKZsxhN,2022-01-14 12:52:14+00:00,0,astriruiz81,258,False
1,"RT @yoigo: 👩‍⚕️ 📱 #CONCURSO 📱 👨‍⚕️

Da igual donde estés, @DoctorGO_ te acompaña en todo momento y resuelve cualquier duda médica en menos…",2022-01-14 12:51:35+00:00,470,SamsungMexico,761622,True
1,@EntelPeru En la página de Samsung esta a mejor precio,2022-01-14 12:49:08+00:00,0,CharlyPi,25383,True
1,"RT @erinconm: Interesante #EnITNews : 

Un repaso a las tendencias tecnológicas presentadas por Samsung en la historia del CES, los detalle…",2022-01-14 12:45:20+00:00,1,SETEMCAMOBILE,387,False
1,"@AliExpressES Alguna recomendación de carcasa dura para Samsung galaxy buds + 

Las que compré en AliExpress la parte de arriba no encajaban 🤷🏻‍♂️",2022-01-14 12:44:32+00:00,0,ElectrOfertitas,31764,False
1,#Tecnologia Samsung abandonó su propio evento Exynos del 11 de enero.  La compañía ahora ha aclarado lo que está pasando. https://t.co/UoKFV6SMcw https://t.co/u8DkNxEoxK,2022-01-14 12:43:21+00:00,0,Fadrox2,1,False
1,"RT @SamsungLatin: Solve for Tomorrow de Samsung ya tiene ganador de la región Centroamérica, el Caribe, Ecuador y Venezuela https://t.co/Lo…",2022-01-14 12:42:25+00:00,3,elhackernet,48732,False
1,Samsung presenta primer sistema computacional con memoria no volátil MRAM y procesamiento interno (CPU) https://t.co/7TOFul7xj3 https://t.co/TCZHOg2dey,2022-01-14 12:42:03+00:00,0,BastiianRoss,1676,False
1,Estoy tan odiada con mi iPhone nuevo que soñe que me compraba un Samsung. Tengo el anterior a la venta confirmo que el 12 es mucho mejor que el 13.,2022-01-14 12:41:20+00:00,0,EdwinVsquez17,50,False
1,"@ElNinoTos Una buena, bonita y barata. La Samsung Lite s6",2022-01-14 12:39:27+00:00,0,IversonLee1905,1742,False
1,"#Tecnologia Finalmente, una competencia plegable para Samsung Galaxy Z Fold 3. Esperamos... #Android12L #PixelFold https://t.co/oYArhl22W6 https://t.co/50B72Skp97",2022-01-14 12:38:25+00:00,0,ChavezErtugrul,1614,False
0,RT @joseviruete: Ayer perdí mi móvil en Nuevos Ministerios. Es un Samsung Galaxy con una funda algo ajada y el fondo de pantalla de Godzill…,2022-01-14 12:36:14+00:00,2378,NicolasMaduro,4022220,True
1,RT @SaraOdemiOdeck: Es poco probable que lo termine a si que lo comparto asi 😆 Mi primera ilustracion hecha completamente en mi samsung tab…,2022-01-14 12:36:14+00:00,3,csnwz_,3248,False
0,"@xJulio89x @ParamountPlusLA Pues yo tengo Samsung y no me aparece la aplicación, es de modelo reciente",2022-01-14 12:34:00+00:00,0,m__casti,3647,False
1,Samsung anunció nuevas funciones y tecnología para los hogares en CES 2022 @SamsungArg https://t.co/F3mZlOWvrR,2022-01-14 12:33:10+00:00,0,botxboxseriesx,1568,False
1,"Hoy lo lograré.

Lo juro.

Lo que sea por twittear desde un SAMSUNG SmartDildo™ https://t.co/BmwYTFhrR3",2022-01-14 12:33:01+00:00,0,chalioDMX,79,False
1,"Samsung EVO Select 128GB, microSD, A2, V30, 130 MB/s, FHD, 4K UHD, tarjeta de memoria con adaptador para Smartphone, Tablet, Cámara de Acción, Drone o Notebook (MB-ME128KA) https://t.co/tqlQWEX06f",2022-01-14 12:32:27+00:00,0,liverpoolmexico,713921,True
